Country,Year,Population
GBR,1820,161.86397
GBR,1821,164.27955
GBR,1822,166.61282
GBR,1823,168.97898
GBR,1824,171.39513
GBR,1825,173.81418
GBR,1826,176.2961
GBR,1827,178.58803
GBR,1828,180.93284
GBR,1829,183.29053
GBR,1830,185.69823
GBR,1831,188.11881
GBR,1832,190.28016
GBR,1833,192.46151
GBR,1834,194.68285
GBR,1835,196.9142
GBR,1836,199.18844
GBR,1837,201.36267
GBR,1838,203.54979
GBR,1839,205.7869
GBR,1840,208.04402
GBR,1841,210.27114
GBR,1842,212.8446
GBR,1843,215.04941
GBR,1844,217.51903
GBR,1845,219.94095
GBR,1846,222.31076
GBR,1847,222.79863
GBR,1848,222.4688
GBR,1849,222.66109
GBR,1850,222.87069
GBR,1851,223.10067
GBR,1852,225.67009
GBR,1853,228.372
GBR,1854,231.17738
GBR,1855,234.17123
GBR,1856,237.28007
GBR,1857,239.7443
GBR,1858,242.30353
GBR,1859,244.88987
GBR,1860,247.4616
GBR,1861,250.09641
GBR,1862,252.91179
GBR,1863,255.61448
GBR,1864,258.28236
GBR,1865,261.07967
GBR,1866,263.85197
GBR,1867,266.67813
GBR,1868,269.55755
GBR,1869,272.49851
GBR,1870,275.44197
GBR,1871,278.44139
GBR,1872,280.50928
GBR,1873,283.85947
GBR,1874,287.30581
GBR,1875,290.82812
GBR,1876,294.44523
GBR,1877,298.14831
GBR,1878,301.73677
GBR,1879,305.57062
GBR,1880,309.20888
GBR,1881,312.73446
GBR,1882,315.76465
GBR,1883,318.75253
GBR,1884,321.84118
GBR,1885,325.00733
GBR,1886,328.22214
GBR,1887,331.42079
GBR,1888,334.64925
GBR,1889,337.93233
GBR,1890,341.27982
GBR,1891,344.72021
GBR,1892,348.36751
GBR,1893,352.11963
GBR,1894,355.9377
GBR,1895,359.76405
GBR,1896,363.67212
GBR,1897,367.63751
GBR,1898,371.66289
GBR,1899,375.69674
GBR,1900,379.75154
GBR,1901,383.73808
GBR,1902,387.37346
GBR,1903,391.02443
GBR,1904,394.74558
GBR,1905,398.50962
GBR,1906,402.31673
GBR,1907,406.14789
GBR,1908,410.03923
GBR,1909,413.985
GBR,1910,417.95923
GBR,1911,421.50769
GBR,1912,423.18019
GBR,1913,425.56673
GBR,1914,429.65211
GBR,1915,432.96057
GBR,1916,434.73615
GBR,1917,435.73615
GBR,1918,435.29634
GBR,1919,434.37404
GBR,1920,437.18
GBR,1921,440.72
GBR,1922,443.72
GBR,1923,445.96
GBR,1924,449.15
GBR,1925,450.59
GBR,1926,452.32
GBR,1927,453.89
GBR,1928,455.78
GBR,1929,456.72
GBR,1930,458.66
GBR,1931,460.74
GBR,1932,463.35
GBR,1933,465.2
GBR,1934,466.66
GBR,1935,468.68
GBR,1936,470.81
GBR,1937,472.89
GBR,1938,474.94
GBR,1939,479.91
GBR,1940,482.26
GBR,1941,482.16
GBR,1942,484
GBR,1943,487.89
GBR,1944,490.16
GBR,1945,491.82
GBR,1946,492.17
GBR,1947,495.19
GBR,1948,500.14
GBR,1949,503.12
GBR,1950,506.16016
GBR,1951,506.21416
GBR,1952,506.86056
GBR,1953,507.97272
GBR,1954,509.454
GBR,1955,511.23708
GBR,1956,513.2866
GBR,1957,515.59672
GBR,1958,518.1862
GBR,1959,521.08972
GBR,1960,524.33156
GBR,1961,527.89816
GBR,1962,531.71324
GBR,1963,535.62804
GBR,1964,539.4502
GBR,1965,543.03104
GBR,1966,546.30988
GBR,1967,549.28528
GBR,1968,551.94456
GBR,1969,554.29644
GBR,1970,556.34932
GBR,1971,558.09752
GBR,1972,559.5332
GBR,1973,560.66828
GBR,1974,561.5218
GBR,1975,562.11944
GBR,1976,562.47408
GBR,1977,562.6202
GBR,1978,562.6366
GBR,1979,562.62128
GBR,1980,562.65476
GBR,1981,562.76316
GBR,1982,562.9624
GBR,1983,563.3088
GBR,1984,563.86228
GBR,1985,564.66132
GBR,1986,565.7428
GBR,1987,567.09208
GBR,1988,568.62896
GBR,1989,570.23748
GBR,1990,571.83332
GBR,1991,573.39444
GBR,1992,574.9454
GBR,1993,576.50472
GBR,1994,578.10768
GBR,1995,579.7832
GBR,1996,581.56748
GBR,1997,583.46672
GBR,1998,585.44936
GBR,1999,587.46728
GBR,2000,589.50848
GBR,2001,591.49344
GBR,2002,593.48952
GBR,2003,595.80224
GBR,2004,598.84128
GBR,2005,602.86752
GBR,2006,608.028
GBR,2007,614.1466
GBR,2008,620.76224
GBR,2009,627.22604
GBR,2010,633.06844
GBR,2011,638.11884
GBR,2012,642.50328
GBR,2013,646.41108
GBR,2014,650.15688
GBR,2015,653.9708
GBR,2016,657.88574
CHN,1820,3810
CHN,1821,3837.11494
CHN,1822,3864.42286
CHN,1823,3891.92512
CHN,1824,3919.6231
CHN,1825,3947.51821
CHN,1826,3975.61184
CHN,1827,4003.9054
CHN,1828,4032.40033
CHN,1829,4061.09805
CHN,1830,4090
CHN,1831,4092.99014
CHN,1832,4095.98247
CHN,1833,4098.97699
CHN,1834,4101.9737
CHN,1835,4104.97259
CHN,1836,4107.97368
CHN,1837,4110.97697
CHN,1838,4113.98245
CHN,1839,4116.99012
CHN,1840,4120
CHN,1841,4120
CHN,1842,4120
CHN,1843,4120
CHN,1844,4120
CHN,1845,4120
CHN,1846,4120
CHN,1847,4120
CHN,1848,4120
CHN,1849,4120
CHN,1850,4120
CHN,1851,4083.58528
CHN,1852,4047.49241
CHN,1853,4011.71855
CHN,1854,3976.26087
CHN,1855,3941.11659
CHN,1856,3906.28294
CHN,1857,3871.75716
CHN,1858,3837.53654
CHN,1859,3803.61838
CHN,1860,3770
CHN,1861,3750.55482
CHN,1862,3731.20994
CHN,1863,3711.96483
CHN,1864,3692.81899
CHN,1865,3673.7719
CHN,1866,3654.82306
CHN,1867,3635.97195
CHN,1868,3617.21807
CHN,1869,3598.56092
CHN,1870,3580
CHN,1871,3589.88
CHN,1872,3599.78
CHN,1873,3609.71
CHN,1874,3619.67
CHN,1875,3629.66
CHN,1876,3639.67
CHN,1877,3649.71
CHN,1878,3659.78
CHN,1879,3669.88
CHN,1880,3680
CHN,1881,3691.83
CHN,1882,3703.69
CHN,1883,3715.6
CHN,1884,3727.54
CHN,1885,3739.52
CHN,1886,3751.54
CHN,1887,3763.59
CHN,1888,3775.69
CHN,1889,3787.83
CHN,1890,3800
CHN,1891,3819.79
CHN,1892,3839.69
CHN,1893,3859.69
CHN,1894,3879.79
CHN,1895,3900
CHN,1896,3919.8
CHN,1897,3939.7
CHN,1898,3959.7
CHN,1899,3979.8
CHN,1900,4000
CHN,1901,4022.43
CHN,1902,4044.98
CHN,1903,4067.66
CHN,1904,4090.47
CHN,1905,4113.4
CHN,1906,4136.46
CHN,1907,4159.65
CHN,1908,4182.97
CHN,1909,4206.42
CHN,1910,4230
CHN,1911,4276.62
CHN,1912,4323.75
CHN,1913,4371.4
CHN,1914,4419.58
CHN,1915,4468.29
CHN,1916,4517.53
CHN,1917,4567.32
CHN,1918,4617.66
CHN,1919,4668.55
CHN,1920,4720
CHN,1921,4736.73
CHN,1922,4753.52
CHN,1923,4770.37
CHN,1924,4787.28
CHN,1925,4804.25
CHN,1926,4821.28
CHN,1927,4838.37
CHN,1928,4855.52
CHN,1929,4872.73
CHN,1930,4890
CHN,1931,4926.4
CHN,1932,4963.07
CHN,1933,5000
CHN,1934,5026.39
CHN,1935,5052.92
CHN,1936,5079.59
CHN,1937,5106.4
CHN,1938,5133.36
CHN,1939,5160.46
CHN,1940,5187.7
CHN,1941,5215.08
CHN,1942,5242.61
CHN,1943,5270.28
CHN,1944,5298.1
CHN,1945,5326.07
CHN,1946,5354.18
CHN,1947,5382.44
CHN,1948,5410.85
CHN,1949,5439.41
CHN,1950,5544.19264
CHN,1951,5696.11072
CHN,1952,5820.29312
CHN,1953,5925.67872
CHN,1954,6019.712
CHN,1955,6108.34368
CHN,1956,6195.97568
CHN,1957,6285.5136
CHN,1958,6378.53632
CHN,1959,6475.55968
CHN,1960,6576.86144
CHN,1961,6683.34848
CHN,1962,6797.32288
CHN,1963,6922.80512
