Country,Year,SpendStu,Pop(10E6),GINI,GDP,YNEET
AUT,2013,2.28,8.46857,27.9,4.7936677963,10.680032
BEL,2013,2.789,11.17844,26.5,4.3745951564,14.977997
CZE,2013,1.923,10.51072,25.9,3.0496020039,13.244039
DEU,2013,2.224,80.611,29.2,4.5231971754,9.6834126
DNK,2013,2.421,5.614932,25.4,4.6742938839,11.71459
ESP,2013,1.725,46.59323,34.5,3.2622825214,27.151373
EST,2013,1.433,1.317997,35.7,2.7449852709,14.799244
FIN,2013,2.588,5.439,26.2,4.1293293616,12.331663
FRA,2013,2.579,63.78614,29.1,3.9529072651,16.340042
GBR,2013,2.831,63.23794,35.8,3.9519051474,15.588923
GRC,2013,1.631,11,34.2,2.6097797516,28.469343
HUN,2013,1.508,9.893,31.5,2.4464135959,20.482632
IRL,2013,1.71,4.5931,30.8,4.8006067498,19.24276
ITA,2013,1.896,60.22473,32.5,3.588539085,26.099258
LVA,2013,1.577,2.001,35.1,2.2674541792,15.771196
NLD,2013,2.475,16.80443,28.7,4.9254511184,8.8733149
POL,2013,1.73,38.502,29.9,2.4422763907,16.951569
PRT,2013,2.899,10.45729,34.1,2.7899476143,17.317533
SVK,2013,1.813,5.415949,26.9,2.7899621343,19.110228
SVN,2013,1.961,2.059114,25.4,2.9802653408,13.162342
SWE,2013,1.954,9.609,26.8,4.5721897416,9.3649673
