"Name" "Dep" "NurseryProv" "NurseryExp" "PrimarySmall" "PrimaryLarge" "PrimaryExp" "MoreSmall"
"Barking" 37.85 89.1 2488.7 5.9 13 2205 0
"Barnet" 16.63 78.8 2273 27 6.3 2171 1
"Bexley" 16.97 99.8 2247 7 40.2 1917 0
"Brent" 33.53 84.6 2975 24.7 5.2 2330 1
"Bromley" 12.64 100.98 2226 16.3 27.1 1992 0
"Camden" 36.56 82.49 2771 34.1 2.8 2435 1
"Croydon" 21.04 85 2887 13.7 16.9 2136 0
"Ealing" 26.78 87 2667 18.6 20.2 2459 0
"Enfield" 26.79 98.6 2753 26.5 28.7 2130 0
"Hackney" 57.26 91.59 3309 22.7 4.5 2363 1
"Hammersmith" 31.57 74.4 3623 34.8 5.8 2826 1
"Haringey" 42.3 88.5 3235 19.8 2.3 2280 1
"Harrow" 16.03 79.4 3114 21.8 15.9 2367 1
"Havering" 16.62 107.8 1997.93 2.3 31.2 2021 0
"Hillingdon" 18.3 79 2208 18.5 18.7 2061 0
"Hounslow" 25.76 88.35 2882.8 25 20.3 2195 1
"Islington" 45.27 84 2841 28.8 3.7 2163 1
"Kensington" 20.7 50 3676 36.7 0 2800 1
"Kingston" 9.83 92.55 2634.45 18 50.5 2079 0
"Lambeth" 38.29 69.57 2965.58 32.7 3.3 2681 1
"Lewisham" 36.79 85.8 3157 21.9 4.3 2446 1
"Merton" 18.37 83.19 2241.55 26.8 15.6 2087 1
"Newham" 56.18 91.5 2684.28 14.6 11.5 2174 1
"Redbridge" 21.92 102.31 2594 23.2 32.7 1985 0
"Richmond" 7.5 90.5 2517 16 18 2135 0
"Southwark" 44.54 82.35 3279.92 13.6 6.8 2833 1
"Sutton" 14.72 86.65 2434 18.1 34.5 2224 0
"TowerHamlets" 61.34 88.11 4281.76 39.2 1.4 3080 1
"WalthamForest" 33.67 80.06 3032 18.6 15.7 2345 1
"Wandsworth" 23.06 102.96 3393.31 26.3 8 2534 1
"Westminster" 24.34 66.61 2939 50.1 3.3 2811 1
