"","Success","Feet"
"1",1,0
"2",1,0
"3",1,0
"4",1,0
"5",1,0
"6",1,0
"7",1,0
"8",1,0
"9",1,0
"10",1,0
"11",1,0
"12",1,0
"13",1,0
"14",1,0
"15",1,0
"16",1,0
"17",1,0
"18",1,0
"19",1,0
"20",1,0
"21",1,0
"22",1,0
"23",1,0
"24",1,0
"25",1,0
"26",1,0
"27",1,0
"28",1,0
"29",1,0
"30",1,0
"31",1,0
"32",1,0
"33",1,0
"34",1,0
"35",1,0
"36",1,0
"37",1,0
"38",1,0
"39",1,0
"40",1,0
"41",1,0
"42",1,0
"43",1,0
"44",1,0
"45",1,0
"46",1,0
"47",1,0
"48",1,0
"49",1,0
"50",1,0
"51",1,0
"52",1,0
"53",1,0
"54",1,0
"55",1,0
"56",1,0
"57",1,0
"58",1,0
"59",1,0
"60",1,0
"61",1,0
"62",1,0
"63",1,0
"64",1,0
"65",1,0
"66",1,0
"67",1,0
"68",1,0
"69",1,0
"70",1,0
"71",1,0
"72",1,0
"73",1,0
"74",1,0
"75",1,0
"76",1,0
"77",1,0
"78",1,0
"79",1,0
"80",1,0
"81",1,0
"82",1,0
"83",1,0
"84",1,0
"85",1,0
"86",1,0
"87",1,0
"88",1,0
"89",1,0
"90",1,0
"91",1,0
"92",1,0
"93",1,0
"94",1,0
"95",1,0
"96",1,0
"97",1,0
"98",1,0
"99",1,0
"100",1,0
"101",0,1
"102",1,1
"103",1,1
"104",1,1
"105",1,1
"106",1,1
"107",1,1
"108",1,1
"109",1,1
"110",1,1
"111",1,1
"112",1,1
"113",1,1
"114",1,1
"115",1,1
"116",1,1
"117",1,1
"118",1,1
"119",1,1
"120",1,1
"121",1,1
"122",1,1
"123",1,1
"124",1,1
"125",1,1
"126",0,1
"127",1,1
"128",1,1
"129",1,1
"130",1,1
"131",1,1
"132",1,1
"133",1,1
"134",1,1
"135",1,1
"136",1,1
"137",1,1
"138",1,1
"139",1,1
"140",1,1
"141",1,1
"142",1,1
"143",1,1
"144",1,1
"145",1,1
"146",1,1
"147",1,1
"148",1,1
"149",1,1
"150",1,1
"151",1,1
"152",1,1
"153",1,1
"154",1,1
"155",1,1
"156",1,1
"157",1,1
"158",1,1
"159",1,1
"160",1,1
"161",1,1
"162",1,1
"163",1,1
"164",1,1
"165",1,1
"166",0,1
"167",1,1
"168",1,1
"169",1,1
"170",1,1
"171",1,1
"172",1,1
"173",1,1
