Member	Age	Gender	Income	Health
1	46	0	85	1
0	40	0	55	1
0	42	1	46	0
0	39	1	36	0
1	58	1	50	1
0	39	0	60	0
1	48	0	39	1
0	75	1	42	0
0	37	1	87	1
0	29	0	102	1
0	25	1	68	1
1	55	0	45	1
1	51	1	66	0
0	73	0	114	0
1	38	0	47	1
1	57	1	70	1
1	55	0	88	0
1	57	0	38	0
0	72	0	60	0
1	56	0	88	1
0	64	0	39	1
1	40	0	66	1
1	67	0	75	0
1	58	1	63	1
0	62	1	99	1
1	52	0	32	1
1	59	0	35	1
0	23	1	59	1
0	38	0	19	0
1	60	0	55	1
1	39	1	22	1
1	53	1	62	1
0	58	0	64	0
0	59	1	59	0
0	27	0	58	1
1	45	0	99	1
1	36	1	82	1
0	20	0	23	1
0	40	0	38	1
0	42	0	62	1
1	43	1	57	1
1	47	0	28	0
1	46	0	37	1
0	22	0	32	1
1	65	1	43	0
1	53	0	33	0
0	32	0	58	1
1	40	1	40	1
