"men" "women" "vegetarian"
167.489439 163.463062 "yes"
169.48316 163.880407 "yes"
170.561353 164.539034 "yes"
174.84632 163.841551 "no"
169.469678 165.692283 "no"
171.959434 164.963393 "no"
168.360909 166.325883 "no"
170.582437 165.102038 "no"
172.777127 166.229205 "no"
173.612962 162.041943 "no"
174.591664 163.663395 "yes"
165.93332 167.989878 "yes"
170.154467 169.852506 "no"
173.060535 169.211567 "no"
166.321518 163.448222 "no"
172.125492 158.165974 "yes"
172.61502 161.652194 "yes"
167.630836 164.82155 "yes"
170.996237 163.396557 "no"
170.616807 163.592375 "no"
169.491898 163.476537 "no"
169.044748 164.693599 "yes"
169.113072 165.66029 "yes"
171.566874 164.927502 "yes"
163.306848 166.915061 "no"
