Cohort,Interesting,Enjoy,Social.Net,Gender,A.Level,Study.Skills,Grade
2013,0,0,1,M,6,26,0
2013,0,0,1,M,5,26,40
2013,0,0,3,M,6,15,43
2013,0,0,3,M,5,19,48
2013,1,1,3,M,5,21,49
2013,1,0,2,M,6,17,50
2013,0,1,3,F,6,17,50
2013,1,0,3,M,6,27,50
2013,1,0,3,M,5,18,50
2013,0,0,3,F,6,24,53
2013,0,0,3,F,5,21,53
2013,0,0,3,M,6,20,54
2013,0,0,3,F,6,22,55
2013,1,0,3,M,6,9,56
2013,1,0,3,F,5,29,59
2013,1,0,1,M,5,32,60
2013,0,1,1,F,6,24,60
2013,1,0,3,M,6,20,60
2013,0,0,2,F,5,21,64
2013,1,0,2,M,6,29,68
2013,0,0,3,F,6,23,71
2013,1,0,2,M,6,27,71
2013,1,1,1,F,6,28,73
2013,1,1,1,F,6,30,74
2013,1,1,3,M,6,29,76
2013,1,0,3,F,6,28,77
2013,1,0,3,F,6,25,78
2013,1,1,2,M,6,32,80
2013,1,1,3,F,6,23,82
2013,1,0,3,F,6,27,82
2013,1,0,2,M,6,30,83
2013,0,0,2,M,6,23,84
2013,1,0,2,M,6,29,85
2013,1,0,2,F,6,30,85
2013,1,0,2,M,6,24,86
2013,1,0,1,M,6,24,86
2013,1,1,2,F,6,27,86
2013,1,1,3,F,6,31,87
2013,1,1,3,F,5,28,89
2013,1,0,3,F,6,34,95
2013,1,1,2,M,6,26,95
2013,1,0,2,F,6,30,100
2012,1,0,3,F,6,20,40
2012,1,0,3,M,6,26,41
2012,1,0,2,M,5,13,41
2012,0,0,3,M,5,23,42
2012,1,0,2,F,4,25,42
2012,1,1,3,F,6,18,46
2012,0,1,3,M,6,27,47
2012,0,0,2,M,6,23,47
2012,0,0,3,F,6,17,48
2012,1,0,3,F,6,31,48
2012,1,1,3,F,6,16,48
2012,1,1,2,M,6,28,50
2012,0,0,2,F,5,23,51
2012,0,0,3,M,6,17,55
2012,0,0,3,M,6,17,55
2012,1,0,2,M,6,31,56
2012,0,0,3,F,5,25,57
2012,0,1,3,F,6,24,58
2012,1,0,2,F,6,22,58
2012,0,0,1,M,6,27,58
2012,1,0,3,M,6,27,60
2012,1,0,2,F,6,26,60
2012,0,1,2,F,6,20,60
2012,0,0,3,F,6,25,62
2012,1,0,3,M,6,20,63
2012,1,0,3,F,6,30,66
2012,1,1,1,M,5,13,67
2012,1,0,2,F,6,23,69
2012,1,0,1,M,6,27,71
2012,1,0,1,M,6,33,72
2012,1,0,2,F,6,31,76
2012,1,1,3,F,6,23,76
2012,1,0,3,M,5,24,77
2012,0,0,2,F,6,24,77
2012,1,0,3,M,5,28,84
2012,1,0,3,F,5,32,85
2012,1,0,2,F,6,26,85
2012,1,0,3,M,6,22,87
2012,1,0,3,F,5,28,90
2012,1,0,2,F,5,28,90
2012,1,0,1,M,5,28,90
2012,1,1,3,M,6,31,94
2012,1,0,3,F,5,26,95
2012,1,1,3,F,5,28,95
